id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	Fibro|Fibro	Fibro|Mac	Mac|Fibro	Mac|Mac
CPI-SS0A93C11C8	NGFR_BDNF	simple:P08138	simple:P23560	NGFR	BDNF	True	True	False	curated	False	0.011	0.0	0.0	0.0
CPI-SS01BCB9360	NCAM1_BDNF	simple:P13591	simple:P23560	NCAM1	BDNF	True	True	False	I2D	False	0.103	0.0	0.047	0.0
CPI-SS0BA3A1C3A	NGFR_NTF4	simple:P08138	simple:P34130	NGFR	NTF4	True	True	False	curated	False	0.003	0.0	0.0	0.0
CPI-SS0C23EF34B	NCAM1_GDNF	simple:P13591	simple:P39905	NCAM1	GDNF	True	True	False	I2D	False	0.095	0.0	0.039	0.0
CPI-SS027CDEA08	NOTCH2_DLL4	simple:Q04721	simple:Q9NR61	NOTCH2	DLL4	False	True	False	curated	False	0.165	0.0	0.258	0.0
CPI-SS012B7C21D	NOTCH1_DLL4	simple:P46531	simple:Q9NR61	NOTCH1	DLL4	False	True	False	curated	False	0.1	0.0	0.054	0.0
CPI-SS003C9A532	NOTCH2_DLL3	simple:Q04721	simple:Q9NYJ7	NOTCH2	DLL3	False	True	False	curated	False	0.151	0.0	0.244	0.0
CPI-SS0607D1101	NOTCH1_DLL3	simple:P46531	simple:Q9NYJ7	NOTCH1	DLL3	False	True	False	curated	False	0.086	0.0	0.04	0.0
CPI-SS02770D68F	NOTCH2_JAG2	simple:Q04721	simple:Q9Y219	NOTCH2	JAG2	False	True	False	curated	False	0.156	0.187	0.249	0.28
CPI-SS08C3D27F7	NOTCH1_JAG2	simple:P46531	simple:Q9Y219	NOTCH1	JAG2	False	True	False	curated	False	0.091	0.122	0.045	0.076
CPI-SS0C4D54E39	NOTCH3_JAG2	simple:Q9UM47	simple:Q9Y219	NOTCH3	JAG2	False	True	False	curated	False	0.225	0.256	0.078	0.109
CPI-SS0B42AD9EF	NOTCH1_WNT4	simple:P46531	simple:P56705	NOTCH1	WNT4	True	True	False	I2D	False	0.112	0.0	0.066	0.0
CPI-SS0FA326344	FZD6_WNT4	simple:O60353	simple:P56705	FZD6	WNT4	True	True	False	curated	False	0.062	0.0	0.083	0.0
CPI-SS0B87FE6E0	NOTCH1_JAG1	simple:P46531	simple:P78504	NOTCH1	JAG1	False	True	False	curated	False	0.152	0.103	0.106	0.057
CPI-SS01A07768A	CD46_JAG1	simple:P15529	simple:P78504	CD46	JAG1	False	True	False	curated	False	0.297	0.248	0.254	0.205
CPI-SS09FF3A1EA	FZD9_WNT2	simple:O00144	simple:P09544	FZD9	WNT2	True	True	False	curated	False	0.005	0.021	0.0	0.0
CPI-SS0B7BC0E4D	CCL24_CCR2	simple:O00175	simple:P41597	CCL24	CCR2	True	False	True	guidetopharmacology.org	False	0.006	0.161	0.0	0.0
CPI-SS0CF0E4DE9	CCL2_CCR2	simple:P13500	simple:P41597	CCL2	CCR2	True	False	True	curated	False	0.019	0.174	0.0	0.0
CPI-SS08B249DBA	CCL2_CCR10	simple:P13500	simple:P46092	CCL2	CCR10	True	False	True	I2D	False	0.014	0.0	0.0	0.0
CPI-SS0CB2E8B21	CCL11_ACKR4	simple:P51671	simple:Q9NPB9	CCL11	ACKR4	True	False	True	I2D	False	0.044	0.052	0.0	0.0
CPI-SS083B5EBAB	CXCL13_ACKR4	simple:O43927	simple:Q9NPB9	CXCL13	ACKR4	True	False	True	curated	False	0.043	0.051	0.0	0.0
CPI-SS00AEC3818	CCL19_ACKR4	simple:Q99731	simple:Q9NPB9	CCL19	ACKR4	True	False	True	curated	False	0.047	0.054	0.0	0.0
CPI-SS0FDAB7BA8	CXCL10_DPP4	simple:P02778	simple:P27487	CXCL10	DPP4	True	False	True	curated	False	0.061	0.174	0.087	0.2
CPI-SS080683E15	CXCL10_CXCR3	simple:P02778	simple:P49682	CXCL10	CXCR3	True	False	True	curated	False	0.0	0.033	0.0	0.059
CPI-SS0EFE0B07A	CXCL12_CXCR3	simple:P48061	simple:P49682	CXCL12	CXCR3	True	False	True	guidetopharmacology.org	False	0.0	0.43	0.0	0.159
CPI-SS015B2F961	CALCA_CALCR	simple:P01258	simple:P30988	CALCA	CALCR	True	False	True	guidetopharmacology.org	False	0.008	0.0	0.0	0.0
CPI-SS0F531DDEB	CALCA_CALCR	simple:P06881	simple:P30988	CALCA	CALCR	True	False	True	guidetopharmacology.org	False	0.008	0.0	0.0	0.0
CPI-SS0C2437E0D	CXCL13_CXCR5	simple:O43927	simple:P32302	CXCL13	CXCR5	True	False	True	curated	False	0.002	0.0	0.0	0.0
CPI-SS003AFD9BA	GHRH_VIPR1	simple:P01286	simple:P32241	GHRH	VIPR1	True	False	True	guidetopharmacology.org	False	0.019	0.022	0.0	0.0
CPI-SS04A7BCE8D	NPPA_NPR3	simple:P01160	simple:P17342	NPPA	NPR3	True	False	True	I2D,InnateDB-All	False	0.0	0.0	0.06	0.048
CPI-SS0230EE330	NPPA_NPR2	simple:P01160	simple:P20594	NPPA	NPR2	True	False	True	I2D,InnateDB-All	False	0.0	0.0	0.036	0.039
CPI-SS02928C71A	PDGFB_LRP1	simple:P01127	simple:Q07954	PDGFB	LRP1	True	False	True	I2D,InnateDB-All	False	0.383	0.206	0.455	0.278
CPI-SS0984C2931	WNT3A_LRP1	simple:P56704	simple:Q07954	WNT3A	LRP1	True	False	True	I2D	False	0.37	0.194	0.0	0.0
CPI-SS0472C478C	BMP7_PTPRK	simple:P18075	simple:Q15262	BMP7	PTPRK	True	False	True	InnateDB-All	False	0.811	0.617	0.843	0.649
CPI-SS0CB863B46	WNT5A_PTPRK	simple:P41221	simple:Q15262	WNT5A	PTPRK	True	False	True	InnateDB-All	False	0.845	0.651	0.0	0.0
CPI-SS05A26A1DE	PDGFB_PDGFRB	simple:P01127	simple:P09619	PDGFB	PDGFRB	True	False	True	curated	False	0.436	0.185	0.508	0.257
CPI-SS0FEEB187C	PDGFB_PDGFRA	simple:P01127	simple:P16234	PDGFB	PDGFRA	True	False	True	curated	False	0.583	0.171	0.655	0.243
CPI-SS0B70EB09E	PDGFA_PDGFRA	simple:P04085	simple:P16234	PDGFA	PDGFRA	True	False	True	curated	False	0.625	0.213	0.605	0.193
CPI-SS0CB4F2FE4	PDGFB_ADGRV1	simple:P01127	simple:Q8WXG9	PDGFB	ADGRV1	True	False	True	InnateDB-All	False	0.039	0.0	0.111	0.0
CPI-SS04E690D72	PTN_PTPRZ1	simple:P21246	simple:P23471	PTN	PTPRZ1	True	False	False	curated	False	0.021	0.0	0.0	0.0
CPI-SS05D7900BF	PTN_ALK	simple:P21246	simple:Q9UM73	PTN	ALK	True	False	True	curated	False	0.029	0.054	0.0	0.0
CPI-SS048604E28	WNT3A_FZD8	simple:P56704	simple:Q9H461	WNT3A	FZD8	True	False	True	IMEx,IntAct	False	0.015	0.0	0.0	0.0
CPI-SS0D782F60B	WNT4_FZD8	simple:P56705	simple:Q9H461	WNT4	FZD8	True	False	True	I2D	False	0.035	0.0	0.0	0.0
CPI-SS080C0EEB8	WNT3A_FZD1	simple:P56704	simple:Q9UP38	WNT3A	FZD1	True	False	True	I2D,InnateDB-All	False	0.035	0.021	0.0	0.0
CPI-SS0B2D5BA95	WNT5A_FZD1	simple:P41221	simple:Q9UP38	WNT5A	FZD1	True	False	True	curated	False	0.07	0.057	0.0	0.0
CPI-SS0CA020C34	WNT4_FZD1	simple:P56705	simple:Q9UP38	WNT4	FZD1	True	False	True	I2D	False	0.056	0.042	0.0	0.0
CPI-SS0E4DE8215	WNT2_FZD1	simple:P09544	simple:Q9UP38	WNT2	FZD1	True	False	True	I2D	False	0.032	0.018	0.048	0.034
CPI-SS0D81C6C1D	WNT7B_FZD1	simple:P56706	simple:Q9UP38	WNT7B	FZD1	True	False	True	curated	False	0.059	0.046	0.046	0.032
CPI-SS0261EA048	WNT3A_FZD2	simple:P56704	simple:Q14332	WNT3A	FZD2	True	False	True	InnateDB-All	False	0.032	0.04	0.0	0.0
CPI-SS01C2BA5C8	WNT5A_FZD2	simple:P41221	simple:Q14332	WNT5A	FZD2	True	False	True	curated	False	0.067	0.075	0.0	0.0
CPI-SS02C418D99	WNT2_FZD2	simple:P09544	simple:Q14332	WNT2	FZD2	True	False	True	curated	False	0.029	0.037	0.045	0.052
CPI-SS0097929A7	BMP7_SLAMF1	simple:P18075	simple:Q13291	BMP7	SLAMF1	True	False	True	InnateDB-All	False	0.0	0.023	0.0	0.055
CPI-SS0E32BEF02	WNT5A_FZD5	simple:P41221	simple:Q13467	WNT5A	FZD5	True	False	True	curated	False	0.051	0.0	0.0	0.0
CPI-SS0D4F593F1	WNT5A_EPHA7	simple:P41221	simple:Q15375	WNT5A	EPHA7	True	False	True	InnateDB-All	False	0.132	0.062	0.0	0.0
CPI-SS01DCC7684	EFNA2_EPHA7	simple:O43921	simple:Q15375	EFNA2	EPHA7	False	False	True	curated	False	0.1	0.03	0.0	0.0
CPI-SS03E450F99	EFNA1_EPHA7	simple:P20827	simple:Q15375	EFNA1	EPHA7	True	False	True	curated	False	0.115	0.045	0.11	0.04
CPI-SS0D5DBB634	EFNA3_EPHA7	simple:P52797	simple:Q15375	EFNA3	EPHA7	False	False	True	curated	False	0.092	0.022	0.0	0.0
CPI-SS0F81DBF22	EFNA4_EPHA7	simple:P52798	simple:Q15375	EFNA4	EPHA7	True	False	True	curated	False	0.094	0.024	0.0	0.0
CPI-SS028688B7B	EFNA5_EPHA7	simple:P52803	simple:Q15375	EFNA5	EPHA7	False	False	True	curated	False	0.327	0.257	0.526	0.456
CPI-SS0C56C483F	WNT5A_ANTXR1	simple:P41221	simple:Q9H6X2	WNT5A	ANTXR1	True	False	True	InnateDB-All	False	0.164	0.081	0.0	0.0
CPI-SS0331C5A49	GDF11_ANTXR1	simple:O95390	simple:Q9H6X2	GDF11	ANTXR1	True	False	True	InnateDB-All	False	0.134	0.051	0.144	0.061
CPI-SS0E7CBFD03	WNT5A_ROR2	simple:P41221	simple:Q01974	WNT5A	ROR2	True	False	True	I2D	False	0.311	0.132	0.0	0.0
CPI-SS002673EFE	WNT5A_FZD3	simple:P41221	simple:Q9NPG1	WNT5A	FZD3	True	False	True	curated	False	0.071	0.059	0.0	0.0
CPI-SS0F26BB901	WNT2_FZD3	simple:P09544	simple:Q9NPG1	WNT2	FZD3	True	False	True	curated	False	0.032	0.02	0.048	0.036
CPI-SS073F3FAD5	WNT5A_ROR1	simple:P41221	simple:Q01973	WNT5A	ROR1	True	False	True	IMEx	False	0.786	0.449	0.0	0.0
CPI-SS0AD0ED887	TNFRSF11B_TNFSF10	simple:O00300	simple:P50591	TNFRSF11B	TNFSF10	True	False	False	curated	False	0.092	0.145	0.0	0.0
CPI-SS0E0BCE16F	FGFR1_FGF5	simple:P11362	simple:P12034	FGFR1	FGF5	True	True	False	I2D,InnateDB-All	False	0.268	0.0	0.137	0.0
CPI-SS039799099	FGFR1_NCAM1	simple:P11362	simple:P13591	FGFR1	NCAM1	True	True	True	curated	False	0.362	0.306	0.231	0.175
CPI-SS07833475A	FGFR1_FGF7	simple:P11362	simple:P21781	FGFR1	FGF7	True	True	False	I2D	False	0.282	0.0	0.152	0.0
CPI-SS038E93B77	FGFR1_FGF9	simple:P11362	simple:P31371	FGFR1	FGF9	True	True	False	I2D,InnateDB-All	False	0.318	0.344	0.188	0.214
CPI-SS0907A7598	FGFR2_FGF9	simple:P21802	simple:P31371	FGFR2	FGF9	True	True	False	I2D,InnateDB-All	False	0.735	0.761	0.903	0.929
CPI-SS0649EA05F	FGFR4_FGF9	simple:P22455	simple:P31371	FGFR4	FGF9	True	True	False	I2D	False	0.082	0.108	0.106	0.132
CPI-SS07A9A501C	FGFR3_FGF9	simple:P22607	simple:P31371	FGFR3	FGF9	True	True	False	I2D,InnateDB-All	False	0.063	0.089	0.066	0.092
CPI-SS07A0F4D73	FGFR1_FGF23	simple:P11362	simple:Q9GZV9	FGFR1	FGF23	True	True	False	IMEx,InnateDB-All	False	0.268	0.0	0.138	0.0
CPI-SS01D785DBA	FGFR2_FGF23	simple:P21802	simple:Q9GZV9	FGFR2	FGF23	True	True	False	I2D,IMEx,InnateDB-All,IntAct	False	0.685	0.0	0.853	0.0
CPI-SS0883B7EE4	FGFR3_FGF23	simple:P22607	simple:Q9GZV9	FGFR3	FGF23	True	True	False	I2D	False	0.013	0.0	0.016	0.0
CPI-SS0BF490275	FGFR1_KL	simple:P11362	simple:Q9UEF7	FGFR1	KL	True	True	False	I2D	False	0.399	0.478	0.268	0.348
CPI-SS06A0B20BD	FGFR2_EPHA4	simple:P21802	simple:P54764	FGFR2	EPHA4	True	True	True	I2D,InnateDB-All	False	0.887	0.764	1.054	0.931
CPI-SS0E63AB61E	EFNA2_EPHA4	simple:O43921	simple:P54764	EFNA2	EPHA4	False	False	True	curated	False	0.211	0.088	0.0	0.0
CPI-SS0EBFE1854	EFNA1_EPHA4	simple:P20827	simple:P54764	EFNA1	EPHA4	True	False	True	curated	False	0.226	0.104	0.221	0.099
CPI-SS05B4EB419	EFNA3_EPHA4	simple:P52797	simple:P54764	EFNA3	EPHA4	False	False	True	curated	False	0.203	0.08	0.0	0.0
CPI-SS0659DBE72	EFNA4_EPHA4	simple:P52798	simple:P54764	EFNA4	EPHA4	True	False	True	curated	False	0.205	0.083	0.0	0.0
CPI-SS0FC01B947	EFNA5_EPHA4	simple:P52803	simple:P54764	EFNA5	EPHA4	False	False	True	curated	False	0.438	0.315	0.637	0.514
CPI-SS087E0E3FB	EFNB2_EPHA4	simple:P52799	simple:P54764	EFNB2	EPHA4	False	True	True	curated	False	0.263	0.141	0.251	0.128
CPI-SS0816A4ED4	FGFR4_EPHA4	simple:P22455	simple:P54764	FGFR4	EPHA4	True	True	True	I2D,InnateDB-All	False	0.233	0.111	0.257	0.135
CPI-SS0D1AE5C79	FGFR3_EPHA4	simple:P22607	simple:P54764	FGFR3	EPHA4	True	True	True	I2D,InnateDB-All	False	0.214	0.092	0.217	0.095
CPI-SS00D9A0644	FGFR2_CD83	simple:P21802	simple:Q01151	FGFR2	CD83	True	True	True	InnateDB-All	False	0.688	0.718	0.855	0.885
CPI-SS02E314589	FGFR2_NECTIN1	simple:P21802	simple:Q15223	FGFR2	NECTIN1	True	True	True	InnateDB-All	False	0.709	0.721	0.876	0.889
CPI-SS02C29C238	FGFR3_NECTIN1	simple:P22607	simple:Q15223	FGFR3	NECTIN1	True	True	True	InnateDB-All	False	0.036	0.049	0.039	0.052
CPI-SS03F821467	CD96_NECTIN1	simple:P40200	simple:Q15223	CD96	NECTIN1	True	True	True	curated	False	0.0	0.0	0.051	0.063
CPI-SS0CC898553	FGFR2_PTPRR	simple:P21802	simple:Q15256	FGFR2	PTPRR	True	True	True	InnateDB-All	False	0.7	0.704	0.868	0.871
CPI-SS0658257AC	FGFR4_PTPRR	simple:P22455	simple:Q15256	FGFR4	PTPRR	True	True	True	InnateDB-All	False	0.047	0.05	0.071	0.074
CPI-SS098F416C1	FGFR2_XPR1	simple:P21802	simple:Q9UBH6	FGFR2	XPR1	True	True	True	InnateDB-All	False	0.96	1.002	1.127	1.17
CPI-SS0A69F13A3	WNT4_SMO	simple:P56705	simple:Q99835	WNT4	SMO	True	False	True	I2D	False	0.137	0.175	0.0	0.0
CPI-SS016B7C7D6	BMP2_SMO	simple:P12643	simple:Q99835	BMP2	SMO	True	False	True	I2D	False	0.133	0.171	0.0	0.0
CPI-SS0C2561156	WNT2_FZD4	simple:P09544	simple:Q9ULV1	WNT2	FZD4	True	False	True	curated	False	0.098	0.058	0.114	0.073
CPI-SS0B8083B44	WNT7B_FZD4	simple:P56706	simple:Q9ULV1	WNT7B	FZD4	True	False	True	curated	False	0.126	0.085	0.112	0.071
CPI-SS01469637C	WNT2B_FZD4	simple:Q93097	simple:Q9ULV1	WNT2B	FZD4	True	False	True	curated	False	0.1	0.059	0.0	0.0
CPI-SS0423580E5	DLL1_NOTCH2	simple:O00548	simple:Q04721	DLL1	NOTCH2	False	False	True	curated	False	0.157	0.25	0.0	0.0
CPI-SS060B82BBC	JAG1_NOTCH2	simple:P78504	simple:Q04721	JAG1	NOTCH2	False	False	True	curated	False	0.216	0.31	0.167	0.261
CPI-SS047232C64	DLL1_NOTCH3	simple:O00548	simple:Q9UM47	DLL1	NOTCH3	False	False	True	curated	False	0.226	0.079	0.0	0.0
CPI-SS0B99F22A2	JAG1_NOTCH3	simple:P78504	simple:Q9UM47	JAG1	NOTCH3	False	False	True	curated	False	0.286	0.138	0.237	0.09
CPI-SS0938C6980	DLL4_NOTCH3	simple:Q9NR61	simple:Q9UM47	DLL4	NOTCH3	False	False	True	curated	False	0.234	0.087	0.0	0.0
CPI-SS035E5A708	DLL3_NOTCH3	simple:Q9NYJ7	simple:Q9UM47	DLL3	NOTCH3	False	False	True	curated	False	0.22	0.073	0.0	0.0
CPI-SS0BFB29A42	PLXNB2_PTN	simple:O15031	simple:P21246	PLXNB2	PTN	True	True	False	I2D,IMEx,InnateDB-All,IntAct	False	0.112	0.0	0.096	0.0
CPI-SS08FAC0A55	PLXNB2_SEMA4D	simple:O15031	simple:Q92854	PLXNB2	SEMA4D	False	True	True	curated	False	0.143	0.257	0.127	0.24
CPI-SS0CCCF7C69	PLXNB1_SEMA4D	simple:O43157	simple:Q92854	PLXNB1	SEMA4D	True	True	True	curated	False	0.064	0.177	0.0	0.0
CPI-SS06AA638A8	CD72_SEMA4D	simple:P21854	simple:Q92854	CD72	SEMA4D	False	False	True	curated	False	0.053	0.166	0.107	0.22
CPI-SS0C0A61F92	PLXNB2_SEMA4G	simple:O15031	simple:Q9NTN9	PLXNB2	SEMA4G	False	True	False	curated	False	0.112	0.116	0.096	0.099
CPI-SS0EBA5A4D8	VEGFD_KDR	simple:O43915	simple:P35968	VEGFD	KDR	True	False	True	curated	False	0.316	0.296	0.134	0.114
CPI-SS0C03F7CDC	VEGFA_KDR	simple:P15692	simple:P35968	VEGFA	KDR	True	False	True	curated	False	0.27	0.25	0.365	0.345
CPI-SS0879B8E95	CD160_TNFRSF14	simple:O95971	simple:Q92956	CD160	TNFRSF14	False	True	True	curated	False	0.004	0.0	0.0	0.0
CPI-SS02ACCF1F7	MIF_TNFRSF14	simple:P14174	simple:Q92956	MIF	TNFRSF14	True	False	True	I2D,IntAct	False	0.061	0.0	0.047	0.0
CPI-SS08330207B	BTLA_TNFRSF14	simple:Q7Z6A9	simple:Q92956	BTLA	TNFRSF14	False	True	True	guidetopharmacology.org	False	0.004	0.0	0.055	0.0
CPI-SS0B34CBA4B	EFNA2_EPHA1	simple:O43921	simple:P21709	EFNA2	EPHA1	False	False	True	curated	False	0.018	0.026	0.0	0.0
CPI-SS0FF49C823	EFNA1_EPHA1	simple:P20827	simple:P21709	EFNA1	EPHA1	True	False	True	curated	False	0.033	0.042	0.028	0.037
CPI-SS08A54963F	EFNA2_EPHA2	simple:O43921	simple:P29317	EFNA2	EPHA2	False	False	True	curated	False	0.031	0.029	0.0	0.0
CPI-SS046F6F0C1	EFNA1_EPHA2	simple:P20827	simple:P29317	EFNA1	EPHA2	True	False	True	curated	False	0.046	0.044	0.041	0.039
CPI-SS0C875BA24	EFNA2_EPHA3	simple:O43921	simple:P29320	EFNA2	EPHA3	True	False	True	curated	False	0.204	0.037	0.0	0.0
CPI-SS09CA492BA	EFNA1_EPHA3	simple:P20827	simple:P29320	EFNA1	EPHA3	True	False	True	curated	False	0.22	0.053	0.215	0.048
CPI-SS0D81D9F5E	EFNA2_EPHA5	simple:O43921	simple:P54756	EFNA2	EPHA5	False	False	True	curated	False	0.011	0.0	0.0	0.0
CPI-SS0762B455F	EFNA1_EPHA5	simple:P20827	simple:P54756	EFNA1	EPHA5	True	False	True	curated	False	0.027	0.0	0.022	0.0
CPI-SS079EF5D9C	EFNA3_EPHA5	simple:P52797	simple:P54756	EFNA3	EPHA5	False	False	True	curated	False	0.003	0.0	0.0	0.0
CPI-SS0008137B6	EFNA4_EPHA5	simple:P52798	simple:P54756	EFNA4	EPHA5	True	False	True	curated	False	0.006	0.0	0.0	0.0
CPI-SS09E3F5044	EFNA5_EPHA5	simple:P52803	simple:P54756	EFNA5	EPHA5	False	False	True	curated	False	0.238	0.0	0.437	0.0
CPI-SS073811AB3	TNFRSF11B_TNFSF11	simple:O00300	simple:O14788	TNFRSF11B	TNFSF11	True	False	True	curated	False	0.002	0.0	0.0	0.0
CPI-SS00F282936	CXCR6_CXCL16	simple:O00574	simple:Q9H2A7	CXCR6	CXCL16	True	True	True	guidetopharmacology.org	False	0.066	0.173	0.122	0.23
CPI-SS0AFE077D8	ACKR2_CCL4	simple:O00590	simple:P13236	ACKR2	CCL4	True	True	False	curated	False	0.003	0.0	0.019	0.0
CPI-SS03165AD8C	ACKR2_CCL2	simple:O00590	simple:P13500	ACKR2	CCL2	True	True	False	curated	False	0.016	0.0	0.031	0.0
CPI-SS091B461CB	ACKR2_CCL28	simple:O00590	simple:Q9NRJ3	ACKR2	CCL28	True	True	False	I2D	False	0.012	0.023	0.027	0.038
CPI-SS064C772FE	CCR10_CCL28	simple:P46092	simple:Q9NRJ3	CCR10	CCL28	True	True	False	guidetopharmacology.org	False	0.011	0.022	0.0	0.0
CPI-SS0D34B5517	ACKR2_CCL27	simple:O00590	simple:Q9Y4X3	ACKR2	CCL27	True	True	False	I2D	False	0.007	0.02	0.022	0.035
CPI-SS0B2979A10	CCR10_CCL27	simple:P46092	simple:Q9Y4X3	CCR10	CCL27	True	True	False	curated	False	0.005	0.019	0.0	0.0
CPI-SS08920B6FF	PODXL_SELL	simple:O00592	simple:P14151	PODXL	SELL	False	False	False	curated	False	0.111	0.13	0.172	0.191
CPI-SS0A28DCA72	CXCL12_CXCR4	simple:P48061	simple:P61073	CXCL12	CXCR4	True	False	True	curated	False	0.418	0.0	0.147	0.0
CPI-SS032AD1183	NPPA_NPR1	simple:P01160	simple:P16066	NPPA	NPR1	True	False	True	guidetopharmacology.org	False	0.0	0.0	0.072	0.035
CPI-SS053613259	NRG2_ERBB3	simple:O14511	simple:P21860	NRG2	ERBB3	True	False	True	curated	False	0.094	0.087	0.042	0.035
CPI-SS0E063192D	NRG2_ERBB4	simple:O14511	simple:Q15303	NRG2	ERBB4	True	False	True	curated	False	0.893	1.42	0.841	1.368
CPI-SS0F0D7F25C	BTC_ERBB4	simple:P35070	simple:Q15303	BTC	ERBB4	True	False	True	curated	False	0.833	1.36	0.85	1.376
CPI-SS0D5E30C6C	NRG3_ERBB4	simple:P56975	simple:Q15303	NRG3	ERBB4	True	False	True	curated	False	0.832	1.358	0.0	0.0
CPI-SS0BD5C2A23	NRG1_ERBB4	simple:Q02297	simple:Q15303	NRG1	ERBB4	True	True	True	curated	False	0.958	1.485	1.134	1.661
CPI-SS0708FE6FF	NRG1_LSR	simple:Q02297	simple:Q86X29	NRG1	LSR	True	True	True	InnateDB-All	False	0.17	0.155	0.346	0.331
CPI-SS0E075E5AF	NRG1_NETO2	simple:Q02297	simple:Q8NC67	NRG1	NETO2	True	True	True	InnateDB-All	False	0.141	0.0	0.317	0.0
CPI-SS0978D28AB	NRG1_MS4A4A	simple:Q02297	simple:Q96JQ5	NRG1	MS4A4A	True	True	True	IMEx,IntAct	False	0.0	0.153	0.0	0.329
CPI-SS02572E1EF	NRG1_LGR4	simple:Q02297	simple:Q9BXB1	NRG1	LGR4	True	True	True	InnateDB-All	False	0.399	0.547	0.575	0.723
CPI-SS0057AB387	RSPO1_LGR4	simple:Q2MKA7	simple:Q9BXB1	RSPO1	LGR4	True	False	True	guidetopharmacology.org	False	0.265	0.413	0.0	0.0
CPI-SS0E5397537	RSPO1_LGR6	simple:Q2MKA7	simple:Q9HBX8	RSPO1	LGR6	True	False	True	guidetopharmacology.org	False	0.019	0.0	0.0	0.0
CPI-SS0EB5364D4	RSPO3_LGR6	simple:Q9BXY4	simple:Q9HBX8	RSPO3	LGR6	True	False	True	guidetopharmacology.org	False	0.054	0.0	0.0	0.0
CPI-SS0ED2573CA	TNFSF11_TNFRSF11A	simple:O14788	simple:Q9Y6Q6	TNFSF11	TNFRSF11A	True	True	True	curated	False	0.021	0.213	0.0	0.0
CPI-SS06A999D25	PLD2_ARF1	simple:O14939	simple:P84077	PLD2	ARF1	False	False	False	guidetopharmacology.org	False	0.139	0.136	0.173	0.17
CPI-SS0F3A089DE	SEMA3E_PLXND1	simple:O15041	simple:Q9Y4D7	SEMA3E	PLXND1	True	False	True	curated	False	0.144	0.108	0.157	0.12
CPI-SS044C72D0D	SEMA4A_PLXND1	simple:Q9H3S1	simple:Q9Y4D7	SEMA4A	PLXND1	False	False	True	curated	False	0.146	0.109	0.213	0.177
CPI-SS0BAB460FF	ANGPT2_TEK	simple:O15123	simple:Q02763	ANGPT2	TEK	True	False	True	curated	False	0.235	0.267	0.227	0.26
CPI-SS090FC28E1	EPHB6_EFNB2	simple:O15197	simple:P52799	EPHB6	EFNB2	True	True	True	curated	False	0.063	0.051	0.0	0.0
CPI-SS04124F4E1	EPO_EFNB2	simple:P01588	simple:P52799	EPO	EFNB2	True	False	True	IMEx,IntAct	False	0.315	0.303	0.375	0.363
CPI-SS0B9E8C0DE	EPHB2_EFNB2	simple:P29323	simple:P52799	EPHB2	EFNB2	False	True	True	curated	False	0.144	0.131	0.278	0.266
CPI-SS0DC4D593E	EPHB6_EFNB1	simple:O15197	simple:P98172	EPHB6	EFNB1	True	True	False	curated	False	0.033	0.035	0.0	0.0
CPI-SS0111AAD26	EPHB2_EFNB1	simple:P29323	simple:P98172	EPHB2	EFNB1	False	True	False	curated	False	0.113	0.115	0.248	0.25
CPI-SS0FF55B42C	EPHB3_EFNB1	simple:P54753	simple:P98172	EPHB3	EFNB1	False	True	False	curated	False	0.044	0.045	0.049	0.051
CPI-SS0F21D6CA0	EPHB4_EFNB1	simple:P54760	simple:P98172	EPHB4	EFNB1	False	True	False	curated	False	0.122	0.123	0.15	0.152
CPI-SS0470AF83E	EPHB1_EFNB1	simple:P54762	simple:P98172	EPHB1	EFNB1	False	True	False	curated	False	0.07	0.071	0.099	0.1
CPI-SS00046DCF3	EPHA4_EFNB1	simple:P54764	simple:P98172	EPHA4	EFNB1	False	True	False	curated	False	0.233	0.235	0.11	0.112
CPI-SS08718E4FB	EPHB6_EFNB3	simple:O15197	simple:Q15768	EPHB6	EFNB3	True	True	True	curated	False	0.005	0.0	0.0	0.0
CPI-SS0DA366C78	EPHB2_EFNB3	simple:P29323	simple:Q15768	EPHB2	EFNB3	False	True	True	curated	False	0.085	0.0	0.22	0.0
CPI-SS0A5B945E3	EPHB3_EFNB3	simple:P54753	simple:Q15768	EPHB3	EFNB3	False	True	True	curated	False	0.016	0.0	0.021	0.0
CPI-SS0865716E5	EPHB4_EFNB3	simple:P54760	simple:Q15768	EPHB4	EFNB3	False	True	True	curated	False	0.094	0.0	0.122	0.0
CPI-SS0D41C7AF5	EPHB1_EFNB3	simple:P54762	simple:Q15768	EPHB1	EFNB3	False	True	True	curated	False	0.042	0.0	0.071	0.0
CPI-SS07CA5A6F1	EPHA4_EFNB3	simple:P54764	simple:Q15768	EPHA4	EFNB3	False	True	True	curated	False	0.205	0.0	0.082	0.0
CPI-SS087A17AD6	EPO_EPOR	simple:P01588	simple:P19235	EPO	EPOR	True	False	True	curated	False	0.273	0.269	0.333	0.329
CPI-SS0A0DE9CD6	EPO_EPHB4	simple:P01588	simple:P54760	EPO	EPHB4	True	False	True	IMEx,InnateDB-All,IntAct	False	0.345	0.373	0.405	0.433
CPI-SS08D0F9109	EFNB2_EPHB4	simple:P52799	simple:P54760	EFNB2	EPHB4	False	True	True	curated	False	0.152	0.18	0.14	0.168
